stock,enddate,current_ratio,debt_to_equity,roe,totalassets,cash,inventory,netreceivables,longtermdebt
A,2016-10-31,3.8465608465608465,0.44873909969361303,0.10888522271977374,7794000000,2289000000,533000000,714000000,1904000000
A,2017-10-31,3.3008709422011084,0.3728006623887394,0.14158559304491825,8426000000,2678000000,575000000,801000000,1801000000
A,2018-10-31,3.286080273270709,0.39391285307641777,0.06919202977884827,8541000000,2247000000,638000000,835000000,1799000000
A,2019-10-31,1.533173076923077,0.37615838247683236,0.22556866048862678,9452000000,1382000000,679000000,998000000,1786000000
AA,2016-12-31,1.1276143211627083,0.2518570923240184,-0.07074637424831977,16741000000,853000000,1160000000,834000000,1424000000
AA,2017-12-31,1.3031980319803198,0.3068759672783551,0.06168472252929472,17447000000,1358000000,1453000000,1043000000,1388000000
AA,2018-12-31,1.4826995546420008,0.32057671769312923,0.044499822000711994,16132000000,1113000000,1819000000,1003000000,1801000000
AA,2019-12-31,1.3772922356613344,0.4375,-0.27358949416342415,14631000000,879000000,1644000000,660000000,1799000000
AAL,2017-12-31,0.5955202500325564,-27.97179487179487,-1.6435897435897435,52785000000,295000000,1359000000,1752000000,21818000000
AAL,2018-12-31,0.47728779840848806,-121.6923076923077,-8.355029585798816,60580000000,275000000,1522000000,1706000000,20566000000
AAL,2019-12-31,0.44814592321555347,-177.08474576271186,-14.288135593220339,59995000000,280000000,1851000000,1750000000,20896000000
AAME,2016-12-31,0.9411056788266265,0.3199400669505268,0.024997392153701718,318600000,13252000,0,12581000,33738000
AAME,2017-12-31,1.2098665676661353,0.2987567299518277,0.04009634457353358,343239000,24547000,0,13241000,33738000
AAME,2018-12-31,1.2175217724831913,0.33299446292330015,-0.006948488407670973,344274000,12630000,0,15223000,33738000
AAME,2019-12-31,1.2946178159640298,0.2850962066605261,-0.003261815631364132,377626000,12893000,0,13134000,33738000
AAN,2016-12-31,2.013920326699489,0.33171278578939767,0.09400863122115445,2615736000,308561000,14300000,192465000,491465000
AAN,2017-12-31,1.0739274928980453,0.15717903430779095,0.16929127478871578,2692264000,51037000,16300000,286022000,271606000
AAN,2018-12-31,0.8049095398718549,0.19365732421275986,0.11143812602657567,2826692000,15278000,15200000,203460000,340974000
AAN,2019-12-31,0.5498359480979523,0.1480170774766457,0.018115894060701368,3297800000,57755000,14000000,198102000,257144000
AAOI,2016-12-31,2.6270488386440567,0.15375312247123807,0.13736234739471553,322318000,50224000,51817000,49766000,34961000
AAOI,2017-12-31,3.248020026022515,0.1469172697704005,0.22189116528042824,452948000,82936000,75768000,59850000,48964000
AAOI,2018-12-31,2.509429331679971,0.18331540532492235,-0.0065209332288039285,466840000,55646000,93256000,30534000,60328000
AAOI,2019-12-31,2.11049203656067,0.34183729373178373,-0.2412361118212963,466825000,59977000,85028000,34655000,93593000
AAON,2016-12-31,3.611008657343374,0,0.25923515527105656,256530000,24153000,47352000,49265000,0
AAON,2017-12-31,3.070548287226605,0,0.2269144191614747,296780000,21457000,70786000,52009000,0
AAON,2018-12-31,2.961782232422985,0,0.1696940784066901,307994000,1994000,77612000,60006000,0
AAON,2019-12-31,3.347415577925323,0,0.18512097608051287,371424000,26797000,73601000,68200000,0
AAP,2016-12-31,1.4071543174378123,0.35764071775795286,0.157610335670628,8315033000,135178000,4325868000,641252000,1042949000
AAP,2017-12-30,1.559408257873272,0.30578830614699715,0.13923212606245733,8482301000,546937000,4168492000,606357000,1044327000
AAP,2018-12-29,1.5652424760997954,0.2945015690772789,0.11936618458927575,9040648000,896527000,4362547000,624972000,1045720000
AAP,2019-12-28,1.2719790195953191,0.21056718626596574,0.13718931745992835,11248525000,418665000,4432168000,689469000,747320000
AAT,2016-12-31,3.8521650566340546,1.3125676296636675,0.04025045827589444,1986933000,44801000,0,47782000,1062597000
AAT,2017-12-31,3.9883369670860804,1.5893176284319488,0.03487663576063619,2259864000,82610000,0,48842000,1325030000
AAT,2018-12-31,2.554080144156513,1.6084806912277687,0.024516268834599248,2198250000,47956000,0,49104000,1291573000
AAT,2019-12-31,2.7470074850753052,1.0342936425969067,0.03479519634801894,2790333000,99303000,0,64187000,1358976000
AAWW,2016-12-31,0.633552615282265,1.0984124829141562,0.02736107577876518,4247379000,123890000,24200000,166486000,1666663000
AAWW,2017-12-31,0.7955445196020557,1.1224288434376843,0.12485529562154721,4955462000,280809000,6900000,194478000,2008986000
AAWW,2018-12-31,0.7702159506831692,1.0662685617351173,0.1308373840163562,5534792000,221501000,16400000,269320000,2205005000
AAWW,2019-12-31,0.5754665827239297,1.0910054185435718,-0.16355118545636346,5385641000,103029000,17900000,290119000,1955277000
AAXN,2016-12-31,2.2710567793026564,0,0.11463469593340755,278163000,40651000,34841000,39466000,0
AAXN,2017-12-31,1.9008059286706809,0,0.031096963761018608,338112000,75105000,45465000,56064000,0
AAXN,2018-12-31,3.362156724554397,0,0.06249411543169193,719540000,349462000,33763000,144539000,0
AAXN,2019-12-31,3.165637176196271,0,0.0016228300168354814,845639000,172250000,38845000,194596000,0
AB,2016-12-31,0,0,0.14065039752865305,1540508000,0,0,0,0
AB,2017-12-31,0,0,0.13437983868355413,1544704000,0,0,0,0
AB,2018-12-31,0,0,0.16267632714721653,1490701000,0,0,0,0
AB,2019-12-31,0,0,0.15366000703364427,1554264000,0,0,0,0
ABB,2016-12-31,1.3896626840055448,0.4262038073908175,0.1417693169092945,39202000000,3644000000,4347000000,9696000000,5709000000
ABB,2019-12-31,1.3055363663278396,0.4892799053674405,0.10638769776726305,46108000000,3544000000,4184000000,7459000000,6618000000
ABC,2017-09-30,0.906225276785343,1.8317463977280268,0.1765516519808318,35316470000,2435115000,11461428000,10303324000,3781569000
