stock,enddate,current_ratio,debt_to_equity,roe,totalassets,cash,inventory,netreceivables,longtermdebt,debt_to_assets,cash_to_assets,inventory_to_assets,receivables_to_assets
A,2016-10-31,3.8465608465608465,0.448739099693613,0.1088852227197737,7794000000,2289000000,533000000,714000000,1904000000,0.24429047985629973,0.2936874518860662,0.06838593790094945,0.09160892994611239
A,2017-10-31,3.3008709422011084,0.3728006623887394,0.1415855930449182,8426000000,2678000000,575000000,801000000,1801000000,0.21374317588416805,0.3178257773558035,0.06824115831948731,0.09506290054592927
A,2018-10-31,3.286080273270709,0.3939128530764177,0.0691920297788482,8541000000,2247000000,638000000,835000000,1799000000,0.21063107364477227,0.26308394801545487,0.07469851305467744,0.0977637279007142
A,2019-10-31,1.533173076923077,0.3761583824768323,0.2255686604886267,9452000000,1382000000,679000000,998000000,1786000000,0.18895471857807872,0.14621244181125687,0.0718366483283961,0.10558611933982226
AA,2016-12-31,1.1276143211627083,0.2518570923240184,-0.0707463742483197,16741000000,853000000,1160000000,834000000,1424000000,0.0850606295920196,0.050952750731736454,0.06929096230810584,0.04981781255600024
AA,2017-12-31,1.3031980319803198,0.3068759672783551,0.0616847225292947,17447000000,1358000000,1453000000,1043000000,1388000000,0.0795552243938786,0.07783573107124434,0.08328079325958618,0.05978105118358457
AA,2018-12-31,1.4826995546420008,0.3205767176931292,0.0444998220007119,16132000000,1113000000,1819000000,1003000000,1801000000,0.11164145797173321,0.06899330523183735,0.11275725266550955,0.0621745598809819
AA,2019-12-31,1.3772922356613344,0.4375,-0.2735894941634241,14631000000,879000000,1644000000,660000000,1799000000,0.1229581026587383,0.0600779167521017,0.11236415829403322,0.04510969858519582
AAL,2017-12-31,0.5955202500325564,-27.97179487179487,-1.6435897435897435,52785000000,295000000,1359000000,1752000000,21818000000,0.4133371222885289,0.005588708913517097,0.025745950554134697,0.033191247513498154
AAL,2018-12-31,0.477287798408488,-121.6923076923077,-8.355029585798816,60580000000,275000000,1522000000,1706000000,20566000000,0.33948497854077253,0.004539451964344668,0.025123803235391217,0.028161109276989105
AAL,2019-12-31,0.4481459232155534,-177.08474576271186,-14.28813559322034,59995000000,280000000,1851000000,1750000000,20896000000,0.34829569130760896,0.004667055587965664,0.030852571047587297,0.0291690974247854
AAME,2016-12-31,0.9411056788266264,0.3199400669505268,0.0249973921537017,318600000,13252000,0,12581000,33738000,0.10589453860640301,0.04159447583176397,0.0,0.039488386691776525
AAME,2017-12-31,1.209866567666135,0.2987567299518277,0.0400963445735335,343239000,24547000,0,13241000,33738000,0.0982930261421342,0.07151576598230387,0.0,0.038576618624340475
AAME,2018-12-31,1.2175217724831913,0.3329944629233001,-0.0069484884076709,344274000,12630000,0,15223000,33738000,0.09799752522699942,0.03668589553669461,0.0,0.04421768707482993
AAME,2019-12-31,1.2946178159640298,0.2850962066605261,-0.0032618156313641,377626000,12893000,0,13134000,33738000,0.08934236519731163,0.03414224656141261,0.0,0.034780444143146926
AAN,2016-12-31,2.013920326699489,0.3317127857893976,0.0940086312211544,2615736000,308561000,14300000,192465000,491465000,0.18788784495071367,0.11796335715836766,0.00546691256304153,0.07357967317802715
AAN,2017-12-31,1.0739274928980451,0.1571790343077909,0.1692912747887157,2692264000,51037000,16300000,286022000,271606000,0.10088386577245025,0.01895690764352976,0.0060543839682884,0.1062384669556923
AAN,2018-12-31,0.8049095398718549,0.1936573242127598,0.1114381260265756,2826692000,15278000,15200000,203460000,340974000,0.12062651325294727,0.005404904390007826,0.005377310297690729,0.07197812849790497
AAN,2019-12-31,0.5498359480979523,0.1480170774766457,0.0181158940607013,3297800000,57755000,14000000,198102000,257144000,0.0779744071805446,0.0175131906119231,0.004245254412032264,0.06007095639517254
AAOI,2016-12-31,2.6270488386440567,0.153753122471238,0.1373623473947155,322318000,50224000,51817000,49766000,34961000,0.10846741416861609,0.15582126967777163,0.1607635937180052,0.15440031273462854
AAOI,2017-12-31,3.248020026022515,0.1469172697704005,0.2218911652804282,452948000,82936000,75768000,59850000,48964000,0.10810070913217411,0.18310269611522736,0.16727747997562634,0.13213437304061393
